"availability_date","base_msrp","bed","cab","color","created_at","dealer","drivetrain","engine","interior","model","packages","total_msrp","total_packages","transmission","vehicle","vin","year"
,"40405",,,"Ruby Flare Pearl","2024-06-03 11:29:29","02042","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XN","All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], Nightshade Edition, Activity Mount[installed_msrp], Special Color, Star Gaze™ Fixed Panoramic Roof","43963.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ177812","2024"
,"39280",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:30","02053","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","XLE","50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp]","41409.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH4RJ171087","2024"
,"43215",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:30","02053","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","limited","Emergency Assistance Kit[installed_msrp], Special Color, Star Gaze™ Fixed Panoramic Roof, 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Activity Mount[installed_msrp]","47204.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH6RJ173844","2024"
,"39280",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:30","02050","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Special Color, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], JBL® Premium Audio, 50 State Emissions","42058.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH7RJ176607","2024"
,"40405",,,"Wind Chill Pearl","2024-06-03 11:29:30","02050","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XN","Black Roof Rail, Alloy Wheel Locks[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Nightshade Edition","42174.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ175872","2024"
,"40405",,,"Ruby Flare Pearl","2024-06-03 11:29:30","02050","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XN","Special Color, Nightshade Edition, Alloy Wheel Locks[installed_msrp], 50 State Emissions, Activity Mount[installed_msrp], Black Roof Rail, All-Weather Floor Liner Package[installed_msrp]","42559.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ175056","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:30","02050","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Activity Mount[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","45304.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ175346","2024"
,"39280",,,"Blueprint","2024-06-03 11:29:30","02057","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Quick Charging Cable Package[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","41053.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ176157","2024"
,"35070",,,"Blueprint","2024-06-03 11:29:31","02044","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Fabric","le","Emergency Assistance Kit[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Quick Charging Cable Package[installed_msrp]","36918.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH1RJ177736","2024"
,"35070",,,"Black","2024-06-03 11:29:31","02044","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Fabric","le","Emergency Assistance Kit[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Quick Charging Cable Package[installed_msrp], 50 State Emissions","36918.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ177129","2024"
